id,cases
0,11.717788573566054
1,11.577232150563704
2,9.200417386948061
3,8.84653920690978
4,9.055642172773881
5,9.305735445759144
6,14.544987894102764
7,12.628404628629172
8,11.819896697373089
9,12.005396976194728
10,13.619951480463692
11,14.13404137132948
12,13.582830994449216
13,9.617202589037559
14,13.271359874098641
15,12.269934742253174
16,9.442673916911243
17,9.036867629707583
18,11.40194414900428
19,9.763814929592765
20,12.365203023522865
21,11.963511572756147
22,12.996724759089123
23,10.960585030081486
24,11.512518602291832
25,8.672058278929093
26,8.779318352406563
27,10.323973942490007
28,12.404406111252037
29,9.402268722268818
30,6.102018774235343
31,14.020193335321176
32,9.375805928700597
33,11.02258056837476
34,10.594713836819075
35,14.53892871623362
36,11.489398811949384
37,11.818892828644827
38,9.634983055893281
39,6.393613082976499
40,13.53218810714232
41,11.878258907446174
42,12.832936224276434
43,14.00062258293821
44,11.206374073023447
45,11.075438702408487
46,15.403975201663393
47,12.285474313878055
48,15.387908264856272
49,5.666481593646858
50,12.344820492020748
51,12.043226787095083
52,11.824764989513906
53,14.051929420065594
54,12.914188555121424
55,13.160691862464613
56,8.7536656302496
57,9.033437522119353
58,12.263968677127114
59,8.154574023000642
60,12.095769276852657
